"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"865","feat_384_spec_3",384,187.00149,9.193,15,1965,NA,187.00149,9.193,FALSE,NA,"F384_S3","Feature 384
187 m/z @ 9.19 min",NA,2,4.17647058823529
"866","feat_384_spec_4",384,187.00149,9.193,8,1965,NA,187.00149,9.193,FALSE,NA,"F384_S4","Feature 384
187 m/z @ 9.19 min",NA,2,3.49019607843137
"867","feat_384_spec_5",384,187.00149,9.193,13,1965,NA,187.00149,9.193,FALSE,NA,"F384_S5","Feature 384
187 m/z @ 9.19 min",NA,2,3.98039215686275
"868","feat_384_spec_6",384,187.00149,9.193,12,1965,NA,187.00149,9.193,FALSE,NA,"F384_S6","Feature 384
187 m/z @ 9.19 min",NA,2,3.88235294117647
"869","feat_384_spec_7",384,187.00149,9.193,15,1965,NA,187.00149,9.193,FALSE,NA,"F384_S7","Feature 384
187 m/z @ 9.19 min",NA,2,4.17647058823529
"870","feat_384_spec_8",384,187.00149,9.193,23,1965,NA,187.00149,9.193,FALSE,NA,"F384_S8","Feature 384
187 m/z @ 9.19 min",NA,2,4.96078431372549
"871","feat_385_spec_1",385,187.00292,4.836,17,2711,NA,187.00292,4.836,FALSE,NA,"F385_S1","Feature 385
187 m/z @ 4.84 min",NA,2,4.37254901960784
"872","feat_385_spec_2",385,187.00292,4.836,14,2711,NA,187.00292,4.836,FALSE,NA,"F385_S2","Feature 385
187 m/z @ 4.84 min",NA,2,4.07843137254902
"873","feat_385_spec_3",385,187.00292,4.836,25,2711,NA,187.00292,4.836,FALSE,NA,"F385_S3","Feature 385
187 m/z @ 4.84 min",NA,2,5.15686274509804
"874","feat_385_spec_4",385,187.00292,4.836,10,2711,NA,187.00292,4.836,FALSE,NA,"F385_S4","Feature 385
187 m/z @ 4.84 min",NA,2,3.68627450980392
"875","feat_387_spec_1",387,187.00803,9.063,30,3016,NA,187.00803,9.063,FALSE,NA,"F387_S1","Feature 387
187.01 m/z @ 9.06 min",NA,2,5.64705882352941
"876","feat_387_spec_2",387,187.00803,9.063,20,3016,NA,187.00803,9.063,FALSE,NA,"F387_S2","Feature 387
187.01 m/z @ 9.06 min",NA,2,4.66666666666667
"877","feat_387_spec_3",387,187.00803,9.063,12,3016,NA,187.00803,9.063,FALSE,NA,"F387_S3","Feature 387
187.01 m/z @ 9.06 min",NA,2,3.88235294117647
